Team Code	Game Code	Rush Att	Rush Yard	Rush TD	Pass Att	Pass Comp	Pass Yard	Pass TD	Pass Int
234	234023520131130	32	129	1	31	19	327	3	1
234	193023420131207	43	239	3	32	19	330	3	2
234	37023420140106	31	148	1	35	20	237	2	0
235	709023520130831	48	262	2	22	17	153	1	0
235	235041520130907	44	122	1	33	22	291	1	2
235	694023520130921	56	215	3	20	11	167	1	1
235	235033420130928	45	246	2	18	15	156	1	1
235	31023520131005	41	115	0	22	16	240	3	0
235	235036520131012	40	111	0	28	16	129	0	0
235	235043420131019	31	59	1	29	15	92	0	1
235	257023520131102	41	145	2	29	13	174	0	0
235	736023520131109	34	39	1	46	30	305	1	3
235	235064820131116	41	200	2	14	10	107	0	1
235	253023520131123	37	157	0	25	14	122	2	0
235	234023520131130	24	78	0	25	20	115	1	0
254	625025420130830	25	72	0	51	28	391	3	2
254	693025420130907	17	30	0	35	17	273	2	0
254	254076820130914	33	136	1	18	8	84	0	0
254	315025420130921	42	150	0	42	16	250	2	1
254	254000820131005	22	15	0	22	12	160	0	0
254	716025420131012	26	52	0	50	22	370	4	1
254	254067020131019	35	160	1	36	20	208	1	1
254	254049820131026	33	136	0	31	12	108	0	3
254	772025420131102	27	85	2	41	26	325	2	2
254	671025420131116	39	183	1	44	26	298	2	1
254	254003020131123	40	184	2	26	14	248	2	0
254	646025420131130	25	24	2	34	17	321	0	1
255	1068025520130831	50	368	6	11	7	189	2	0
255	255019320130914	60	344	1	16	8	125	4	1
255	457025520130921	71	324	3	12	7	104	1	0
255	742025520130926	42	129	1	24	7	144	0	2
255	255041520131005	62	335	4	19	6	66	0	2
255	255007720131012	52	237	1	24	11	163	1	1
255	688025520131019	67	394	7	5	3	88	1	1
255	255074620131026	52	394	5	9	5	113	0	2
255	545025520131102	53	276	3	10	5	84	0	0
255	255014720131114	45	248	4	26	15	192	0	1
255	6025520131123	52	428	8	6	2	48	0	0
255	257025520131130	58	263	2	24	11	232	2	2
255	433025520131230	49	151	1	17	5	147	1	1
257	257014720130831	41	222	5	29	20	323	0	1
257	648025720130907	53	227	1	23	17	309	4	0
257	497025720130921	43	191	3	31	23	450	3	1
257	365025720130928	36	196	1	34	20	298	4	1
257	257069420131005	37	238	1	35	19	196	3	0
257	434025720131012	31	164	0	45	25	290	3	2
