Player Code	Game Code	Rush Att	Rush Yard	Rush TD	Pass Att	Pass Comp	Pass Yard	Pass TD	Pass Int	Rec	Rec Yards	Rec TD	Field Goal Att	Field Goal Made	Points	Fumble	Tackle Solo	Sack	Fumble Forced	Int Ret	Punt	Punt Yard
1046143	671000520130921	0	0	0	0	0	0	0	0	1	32	0	0	0	0	0	0	0.0	0	0	0	0
1046143	5007120130928	0	0	0	0	0	0	0	0	2	21	0	0	0	0	0	0	0.0	0	0	0	0
1046143	519000520131005	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0.0	0	0	0	0
1046143	5050320131012	0	0	0	0	0	0	0	0	2	24	1	0	0	6	0	0	0.0	0	0	0	0
1046143	5041420131019	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0.0	0	0	0	0
1046143	47000520131026	0	0	0	0	0	0	0	0	2	45	0	0	0	0	0	0	0.0	0	0	0	0
1046143	709000520131129	0	0	0	0	0	0	0	0	3	76	1	0	0	6	0	0	0.0	0	0	0	0
1038358	671000520130921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1038358	519000520131005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1038358	331000520131102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1038358	5040020131116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1038358	709000520131129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1046125	317000520130907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1038373	5012820130829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1038373	317000520130907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.5	0	0	0	0
1038373	5041820130914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1038373	671000520130921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1038373	5007120130928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1038373	519000520131005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1038373	5050320131012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1038373	5041420131019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	0	0	0	0
1038373	47000520131026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1038373	331000520131102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1038373	5040020131116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1038373	709000520131129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
